,State,Estimated Jobs,Projected Jobs,Median Salary (State),Median Salary (National)
0,AL,220,280,85870,103500
1,AK,90,90,100040,103500
2,AZ,"1,440","2,170",102770,103500
3,CA,"18,400","26,700",126810,103500
4,CO,740,900,103200,103500
5,CT,860,"1,100",105700,103500
6,FL,"2,550","3,900",100520,103500
7,GA,"2,250","3,030",100400,103500
8,HI,50,60,112330,103500
9,ID,0,0,96490,103500
10,IL,"3,370","4,340",103730,103500
11,IN,"1,120","1,470",75970,103500
12,IA,940,"1,380",94860,103500
13,KS,340,460,88860,103500
14,KY,"1,710","2,170",81990,103500
15,LA,80,110,65410,103500
16,ME,290,360,95700,103500
17,MD,"2,330","3,050",117730,103500
18,MA,"2,880","4,340",106070,103500
19,MI,"1,970","2,550",85470,103500
20,MN,960,"1,210",106920,103500
21,MS,70,70,56950,103500
22,MO,"1,020","1,290",78780,103500
23,NE,400,520,84490,103500
24,NV,160,220,82110,103500
25,NH,140,180,77620,103500
26,NJ,"1,820","2,360",129210,103500
27,NY,"3,500","4,990",124030,103500
28,NC,540,700,121970,103500
29,OH,"2,490","3,150",88950,103500
30,OK,950,"1,200",79720,103500
31,OR,760,"1,050",102530,103500
32,PA,340,410,91330,103500
33,RI,260,350,109240,103500
34,SC,120,150,99370,103500
35,SD,60,80,108310,103500
36,TN,280,380,94690,103500
37,TX,"4,110","6,150",99350,103500
38,UT,"1,880","3,060",81250,103500
39,VA,"2,550","3,270",132400,103500
40,WA,"2,700","3,660",135850,103500
41,WV,150,200,67010,103500
42,WI,790,"1,000",95410,103500
